credentialType,issuer,recepiant,encrypt,encryptionKey
auth,mpartner-default-auth,IDA,false,null
euin,mpartner-default-print,null,true,684437
auth,mpartner-default-auth,IDA,false,null
euin,mpartner-default-print,null,true,684097
auth,mpartner-default-auth,IDA,false,null
auth,mpartner-default-auth,IDA,false,null
euin,mpartner-default-print,null,true,898318
euin,mpartner-default-print,null,true,973571
auth,mpartner-default-auth,IDA,false,null
euin,mpartner-default-print,null,true,721565
