rid,process,source
10258102581025820210816095325,NEW,REGISTRATION_CLIENT
10001100011000120210816122735,NEW,REGISTRATION_CLIENT
10002100021000220210816122759,NEW,REGISTRATION_CLIENT
10211102111021120210816093519,NEW,REGISTRATION_CLIENT
10212102121021220210816093541,NEW,REGISTRATION_CLIENT
10335103351033520210816102155,NEW,REGISTRATION_CLIENT
10336103361033620210816102217,NEW,REGISTRATION_CLIENT
10337103371033720210816102240,NEW,REGISTRATION_CLIENT
10338103381033820210816102303,NEW,REGISTRATION_CLIENT
10339103391033920210816102325,NEW,REGISTRATION_CLIENT
10340103401034020210816102348,NEW,REGISTRATION_CLIENT
